Stages,Yellow Jersey,Green jersey,Polka-dot jersey,White jersey,Year
1,PHILIPPE GILBERT,CADEL EVANS,THOR HUSHOVD,GERAINT THOMAS,2011
2,THOR HUSHOVD,PHILIPPE GILBERT,CADEL EVANS,GERAINT THOMAS,2011
3,THOR HUSHOVD,JOSÉ ROJAS,PHILIPPE GILBERT,GERAINT THOMAS,2011
4,THOR HUSHOVD,JOSÉ ROJAS,CADEL EVANS,GERAINT THOMAS,2011
5,THOR HUSHOVD,PHILIPPE GILBERT,CADEL EVANS,GERAINT THOMAS,2011
6,THOR HUSHOVD,PHILIPPE GILBERT,JOHNNY HOOGERLAND,GERAINT THOMAS,2011
7,THOR HUSHOVD,JOSÉ ROJAS,JOHNNY HOOGERLAND,ROBERT GESINK,2011
8,THOR HUSHOVD,PHILIPPE GILBERT,TEJAY VAN GARDEREN,ROBERT GESINK,2011
9,THOMAS VOECKLER,PHILIPPE GILBERT,JOHNNY HOOGERLAND,ROBERT GESINK,2011
10,THOMAS VOECKLER,PHILIPPE GILBERT,JOHNNY HOOGERLAND,ROBERT GESINK,2011
11,THOMAS VOECKLER,MARK CAVENDISH,JOHNNY HOOGERLAND,ROBERT GESINK,2011
12,THOMAS VOECKLER,MARK CAVENDISH,SAMUEL SANCHEZ,ARNOLD JEANNESSON,2011
13,THOMAS VOECKLER,MARK CAVENDISH,JÉRÉMY ROY,ARNOLD JEANNESSON,2011
14,THOMAS VOECKLER,MARK CAVENDISH,JELLE VANENDERT,RIGOBERTO URAN,2011
15,THOMAS VOECKLER,MARK CAVENDISH,JELLE VANENDERT,RIGOBERTO URAN,2011
16,THOMAS VOECKLER,MARK CAVENDISH,JELLE VANENDERT,RIGOBERTO URAN,2011
17,THOMAS VOECKLER,MARK CAVENDISH,JELLE VANENDERT,RIGOBERTO URAN,2011
18,THOMAS VOECKLER,MARK CAVENDISH,JELLE VANENDERT,REIN TAARAMÄE,2011
19,ANDY SCHLECK,MARK CAVENDISH,SAMUEL SANCHEZ,PIERRE ROLLAND,2011
20,CADEL EVANS,MARK CAVENDISH,SAMUEL SANCHEZ,PIERRE ROLLAND,2011
21,CADEL EVANS,MARK CAVENDISH,SAMUEL SANCHEZ,PIERRE ROLLAND,2011
0,FABIAN CANCELLARA,BRADLEY WIGGINS,,TEJAY VAN GARDEREN,2012
1,FABIAN CANCELLARA,PETER SAGAN,MICHAEL MØRKØV,TEJAY VAN GARDEREN,2012
2,FABIAN CANCELLARA,PETER SAGAN,MICHAEL MØRKØV,TEJAY VAN GARDEREN,2012
3,FABIAN CANCELLARA,PETER SAGAN,MICHAEL MØRKØV,TEJAY VAN GARDEREN,2012
4,FABIAN CANCELLARA,PETER SAGAN,MICHAEL MØRKØV,TEJAY VAN GARDEREN,2012
5,FABIAN CANCELLARA,PETER SAGAN,MICHAEL MØRKØV,TEJAY VAN GARDEREN,2012
6,FABIAN CANCELLARA,PETER SAGAN,MICHAEL MØRKØV,TEJAY VAN GARDEREN,2012
7,BRADLEY WIGGINS,PETER SAGAN,CHRIS FROOME,REIN TAARAMÄE,2012
8,BRADLEY WIGGINS,PETER SAGAN,FREDRIK KESSIAKOFF,REIN TAARAMÄE,2012
9,BRADLEY WIGGINS,PETER SAGAN,FREDRIK KESSIAKOFF,TEJAY VAN GARDEREN,2012
10,BRADLEY WIGGINS,PETER SAGAN,THOMAS VOECKLER,TEJAY VAN GARDEREN,2012
11,BRADLEY WIGGINS,PETER SAGAN,FREDRIK KESSIAKOFF,TEJAY VAN GARDEREN,2012
12,BRADLEY WIGGINS,PETER SAGAN,FREDRIK KESSIAKOFF,TEJAY VAN GARDEREN,2012
13,BRADLEY WIGGINS,PETER SAGAN,FREDRIK KESSIAKOFF,TEJAY VAN GARDEREN,2012
14,BRADLEY WIGGINS,PETER SAGAN,FREDRIK KESSIAKOFF,TEJAY VAN GARDEREN,2012
15,BRADLEY WIGGINS,PETER SAGAN,FREDRIK KESSIAKOFF,TEJAY VAN GARDEREN,2012
16,BRADLEY WIGGINS,PETER SAGAN,THOMAS VOECKLER,TEJAY VAN GARDEREN,2012
17,BRADLEY WIGGINS,PETER SAGAN,THOMAS VOECKLER,TEJAY VAN GARDEREN,2012
18,BRADLEY WIGGINS,PETER SAGAN,THOMAS VOECKLER,TEJAY VAN GARDEREN,2012
19,BRADLEY WIGGINS,PETER SAGAN,THOMAS VOECKLER,TEJAY VAN GARDEREN,2012
20,BRADLEY WIGGINS,PETER SAGAN,THOMAS VOECKLER,TEJAY VAN GARDEREN,2012
1,MARCEL KITTEL,ALEXANDER KRISTOFF,JUAN JOSÉ LOBATO DEL VALLE,DANNY VAN POPPEL,2013
2,JAN BAKELANTS,MARCEL KITTEL,PIERRE ROLLAND,MICHAL KWIATKOWSKI,2013
3,JAN BAKELANTS,PETER SAGAN,PIERRE ROLLAND,MICHAL KWIATKOWSKI,2013
4,SIMON GERRANS,PETER SAGAN,PIERRE ROLLAND,MICHAL KWIATKOWSKI,2013
5,SIMON GERRANS,PETER SAGAN,PIERRE ROLLAND,MICHAL KWIATKOWSKI,2013
6,DARYL IMPEY,PETER SAGAN,PIERRE ROLLAND,MICHAL KWIATKOWSKI,2013
7,DARYL IMPEY,PETER SAGAN,BLEL KADRI,MICHAL KWIATKOWSKI,2013
8,CHRIS FROOME,PETER SAGAN,PIERRE ROLLAND,NAIRO QUINTANA,2013
9,CHRIS FROOME,PETER SAGAN,PIERRE ROLLAND,NAIRO QUINTANA,2013
10,CHRIS FROOME,PETER SAGAN,PIERRE ROLLAND,NAIRO QUINTANA,2013
11,CHRIS FROOME,PETER SAGAN,PIERRE ROLLAND,MICHAL KWIATKOWSKI,2013
12,CHRIS FROOME,PETER SAGAN,PIERRE ROLLAND,MICHAL KWIATKOWSKI,2013
13,CHRIS FROOME,PETER SAGAN,PIERRE ROLLAND,MICHAL KWIATKOWSKI,2013
14,CHRIS FROOME,PETER SAGAN,PIERRE ROLLAND,MICHAL KWIATKOWSKI,2013
15,CHRIS FROOME,PETER SAGAN,MIKEL NIEVE ITURRALDE,NAIRO QUINTANA,2013
16,CHRIS FROOME,PETER SAGAN,MIKEL NIEVE ITURRALDE,NAIRO QUINTANA,2013
17,CHRIS FROOME,PETER SAGAN,MIKEL NIEVE ITURRALDE,NAIRO QUINTANA,2013
18,CHRIS FROOME,PETER SAGAN,CHRISTOPHE RIBLON,NAIRO QUINTANA,2013
19,CHRIS FROOME,PETER SAGAN,PIERRE ROLLAND,NAIRO QUINTANA,2013
20,CHRIS FROOME,PETER SAGAN,NAIRO QUINTANA,ANDREW TALANSKY,2013
21,CHRIS FROOME,PETER SAGAN,NAIRO QUINTANA,NAIRO QUINTANA,2013
1,MARCEL KITTEL,BRYAN COQUARD,JENS VOIGT,PETER SAGAN,2014
2,VINCENZO NIBALI,PETER SAGAN,CYRIL LEMOINE,ROMAIN BARDET,2014
3,VINCENZO NIBALI,PETER SAGAN,CYRIL LEMOINE,ROMAIN BARDET,2014
4,VINCENZO NIBALI,PETER SAGAN,CYRIL LEMOINE,ROMAIN BARDET,2014
5,VINCENZO NIBALI,PETER SAGAN,CYRIL LEMOINE,MICHAL KWIATKOWSKI,2014
6,VINCENZO NIBALI,PETER SAGAN,CYRIL LEMOINE,MICHAL KWIATKOWSKI,2014
7,VINCENZO NIBALI,PETER SAGAN,CYRIL LEMOINE,MICHAL KWIATKOWSKI,2014
8,VINCENZO NIBALI,PETER SAGAN,BLEL KADRI,MICHAL KWIATKOWSKI,2014
9,TONY GALLOPIN,PETER SAGAN,TONY MARTIN,MICHAL KWIATKOWSKI,2014
10,VINCENZO NIBALI,PETER SAGAN,JOAQUIM RODRIGUEZ,ROMAIN BARDET,2014
11,VINCENZO NIBALI,PETER SAGAN,JOAQUIM RODRIGUEZ,ROMAIN BARDET,2014
12,VINCENZO NIBALI,PETER SAGAN,JOAQUIM RODRIGUEZ,ROMAIN BARDET,2014
13,VINCENZO NIBALI,PETER SAGAN,JOAQUIM RODRIGUEZ,ROMAIN BARDET,2014
14,VINCENZO NIBALI,PETER SAGAN,JOAQUIM RODRIGUEZ,ROMAIN BARDET,2014
15,VINCENZO NIBALI,PETER SAGAN,JOAQUIM RODRIGUEZ,ROMAIN BARDET,2014
16,VINCENZO NIBALI,PETER SAGAN,RAFAL MAJKA,THIBAUT PINOT,2014
17,VINCENZO NIBALI,PETER SAGAN,RAFAL MAJKA,THIBAUT PINOT,2014
18,VINCENZO NIBALI,PETER SAGAN,RAFAL MAJKA,THIBAUT PINOT,2014
19,VINCENZO NIBALI,PETER SAGAN,RAFAL MAJKA,THIBAUT PINOT,2014
20,VINCENZO NIBALI,PETER SAGAN,RAFAL MAJKA,THIBAUT PINOT,2014
21,VINCENZO NIBALI,PETER SAGAN,RAFAL MAJKA,THIBAUT PINOT,2014
1,ROHAN DENNIS,TONY MARTIN,,TOM DUMOULIN,2015
2,FABIAN CANCELLARA,ANDRÉ GREIPEL,,TOM DUMOULIN,2015
3,CHRIS FROOME,ANDRÉ GREIPEL,JOAQUIN RODRIGUEZ OLIVER,PETER SAGAN,2015
4,TONY MARTIN,ANDRÉ GREIPEL,JOAQUIN RODRIGUEZ OLIVER,PETER SAGAN,2015
5,TONY MARTIN,ANDRÉ GREIPEL,JOAQUIN RODRIGUEZ OLIVER,PETER SAGAN,2015
6,TONY MARTIN,ANDRÉ GREIPEL,DANIEL TEKLEHAIMANOT,PETER SAGAN,2015
7,CHRIS FROOME,ANDRÉ GREIPEL,DANIEL TEKLEHAIMANOT,PETER SAGAN,2015
8,CHRIS FROOME,PETER SAGAN,DANIEL TEKLEHAIMANOT,WARREN BARGUIL,2015
9,CHRIS FROOME,PETER SAGAN,DANIEL TEKLEHAIMANOT,NAIRO QUINTANA,2015
10,CHRIS FROOME,ANDRÉ GREIPEL,RICHIE PORTE,NAIRO QUINTANA,2015
11,CHRIS FROOME,PETER SAGAN,RICHIE PORTE,NAIRO QUINTANA,2015
12,CHRIS FROOME,PETER SAGAN,JOAQUIN RODRIGUEZ OLIVER,NAIRO QUINTANA,2015
13,CHRIS FROOME,PETER SAGAN,JOAQUIN RODRIGUEZ OLIVER,NAIRO QUINTANA,2015
14,CHRIS FROOME,PETER SAGAN,JOAQUIN RODRIGUEZ OLIVER,NAIRO QUINTANA,2015
15,CHRIS FROOME,PETER SAGAN,JOAQUIN RODRIGUEZ OLIVER,NAIRO QUINTANA,2015
16,CHRIS FROOME,PETER SAGAN,JOAQUIN RODRIGUEZ OLIVER,NAIRO QUINTANA,2015
17,CHRIS FROOME,PETER SAGAN,JOAQUIN RODRIGUEZ OLIVER,NAIRO QUINTANA,2015
18,CHRIS FROOME,PETER SAGAN,JOAQUIN RODRIGUEZ OLIVER,NAIRO QUINTANA,2015
19,CHRIS FROOME,PETER SAGAN,ROMAIN BARDET,NAIRO QUINTANA,2015
20,CHRIS FROOME,PETER SAGAN,ROMAIN BARDET,NAIRO QUINTANA,2015
21,CHRIS FROOME,PETER SAGAN,CHRIS FROOME,NAIRO QUINTANA,2015
1,MARK CAVENDISH,MARCEL KITTEL,PAUL VOSS,EDWARD THEUNS,2016
2,PETER SAGAN,MARK CAVENDISH,JASPER STUYVEN,JULIAN ALAPHILIPPE,2016
3,PETER SAGAN,MARK CAVENDISH,JASPER STUYVEN,JULIAN ALAPHILIPPE,2016
4,PETER SAGAN,MARK CAVENDISH,JASPER STUYVEN,JULIAN ALAPHILIPPE,2016
5,GREG VAN AVERMAET,PETER SAGAN,THOMAS DE GENDT,JULIAN ALAPHILIPPE,2016
6,GREG VAN AVERMAET,MARK CAVENDISH,THOMAS DE GENDT,JULIAN ALAPHILIPPE,2016
7,GREG VAN AVERMAET,MARK CAVENDISH,THOMAS DE GENDT,ADAM YATES,2016
8,CHRIS FROOME,MARK CAVENDISH,RAFAL MAJKA,ADAM YATES,2016
9,CHRIS FROOME,MARK CAVENDISH,THIBAUT PINOT,ADAM YATES,2016
10,CHRIS FROOME,PETER SAGAN,THIBAUT PINOT,ADAM YATES,2016
11,CHRIS FROOME,PETER SAGAN,THIBAUT PINOT,ADAM YATES,2016
12,CHRIS FROOME,PETER SAGAN,THOMAS DE GENDT,ADAM YATES,2016
13,CHRIS FROOME,PETER SAGAN,THOMAS DE GENDT,ADAM YATES,2016
14,CHRIS FROOME,PETER SAGAN,THOMAS DE GENDT,ADAM YATES,2016
15,CHRIS FROOME,PETER SAGAN,RAFAL MAJKA,ADAM YATES,2016
16,CHRIS FROOME,PETER SAGAN,RAFAL MAJKA,ADAM YATES,2016
17,CHRIS FROOME,PETER SAGAN,RAFAL MAJKA,ADAM YATES,2016
18,CHRIS FROOME,PETER SAGAN,RAFAL MAJKA,ADAM YATES,2016
19,CHRIS FROOME,PETER SAGAN,RAFAL MAJKA,ADAM YATES,2016
20,CHRIS FROOME,PETER SAGAN,RAFAL MAJKA,ADAM YATES,2016
21,CHRIS FROOME,PETER SAGAN,RAFAL MAJKA,ADAM YATES,2016
1,GERAINT THOMAS,VASILI KIRYIENKA,,STEFAN KÜNG,2017
2,GERAINT THOMAS,MARCEL KITTEL,TAYLOR PHINNEY,STEFAN KÜNG,2017
3,GERAINT THOMAS,MARCEL KITTEL,NATHAN BROWN,PIERRE LATOUR,2017
4,GERAINT THOMAS,ARNAUD DEMARE,NATHAN BROWN,PIERRE LATOUR,2017
5,CHRIS FROOME,ARNAUD DEMARE,FABIO ARU,SIMON YATES,2017
6,CHRIS FROOME,ARNAUD DEMARE,FABIO ARU,SIMON YATES,2017
7,CHRIS FROOME,MARCEL KITTEL,FABIO ARU,SIMON YATES,2017
8,CHRIS FROOME,MARCEL KITTEL,LILIAN CALMEJANE,SIMON YATES,2017
9,CHRIS FROOME,MARCEL KITTEL,WARREN BARGUIL,SIMON YATES,2017
10,CHRIS FROOME,MARCEL KITTEL,WARREN BARGUIL,SIMON YATES,2017
11,CHRIS FROOME,MARCEL KITTEL,WARREN BARGUIL,SIMON YATES,2017
12,FABIO ARU,MARCEL KITTEL,WARREN BARGUIL,SIMON YATES,2017
13,FABIO ARU,MARCEL KITTEL,WARREN BARGUIL,SIMON YATES,2017
14,CHRIS FROOME,MARCEL KITTEL,WARREN BARGUIL,SIMON YATES,2017
15,CHRIS FROOME,MARCEL KITTEL,WARREN BARGUIL,SIMON YATES,2017
16,CHRIS FROOME,MARCEL KITTEL,WARREN BARGUIL,SIMON YATES,2017
17,CHRIS FROOME,MICHAEL MATTHEWS,WARREN BARGUIL,SIMON YATES,2017
18,CHRIS FROOME,MICHAEL MATTHEWS,WARREN BARGUIL,SIMON YATES,2017
19,CHRIS FROOME,MICHAEL MATTHEWS,WARREN BARGUIL,SIMON YATES,2017
20,CHRIS FROOME,MICHAEL MATTHEWS,WARREN BARGUIL,SIMON YATES,2017
21,CHRIS FROOME,MICHAEL MATTHEWS,WARREN BARGUIL,SIMON YATES,2017
1,FERNANDO GAVIRIA RENDON,MARCEL KITTEL,KÉVIN LEDANOIS,DYLAN GROENEWEGEN,2018
2,PETER SAGAN,ALEXANDER KRISTOFF,DION SMITH,FERNANDO GAVIRIA RENDON,2018
3,GREG VAN AVERMAET,PETER SAGAN,DION SMITH,SØREN KRAGH ANDERSEN,2018
4,GREG VAN AVERMAET,PETER SAGAN,DION SMITH,SØREN KRAGH ANDERSEN,2018
5,GREG VAN AVERMAET,PETER SAGAN,TOMS SKUJINS,SØREN KRAGH ANDERSEN,2018
6,GREG VAN AVERMAET,PETER SAGAN,TOMS SKUJINS,SØREN KRAGH ANDERSEN,2018
7,GREG VAN AVERMAET,PETER SAGAN,TOMS SKUJINS,SØREN KRAGH ANDERSEN,2018
8,GREG VAN AVERMAET,PETER SAGAN,TOMS SKUJINS,SØREN KRAGH ANDERSEN,2018
9,GREG VAN AVERMAET,PETER SAGAN,TOMS SKUJINS,SØREN KRAGH ANDERSEN,2018
10,GREG VAN AVERMAET,PETER SAGAN,JULIAN ALAPHILIPPE,PIERRE LATOUR,2018
11,GERAINT THOMAS,PETER SAGAN,JULIAN ALAPHILIPPE,PIERRE LATOUR,2018
12,GERAINT THOMAS,PETER SAGAN,JULIAN ALAPHILIPPE,PIERRE LATOUR,2018
13,GERAINT THOMAS,PETER SAGAN,JULIAN ALAPHILIPPE,PIERRE LATOUR,2018
14,GERAINT THOMAS,PETER SAGAN,JULIAN ALAPHILIPPE,PIERRE LATOUR,2018
15,GERAINT THOMAS,PETER SAGAN,JULIAN ALAPHILIPPE,PIERRE LATOUR,2018
16,GERAINT THOMAS,PETER SAGAN,JULIAN ALAPHILIPPE,PIERRE LATOUR,2018
17,GERAINT THOMAS,PETER SAGAN,JULIAN ALAPHILIPPE,PIERRE LATOUR,2018
18,GERAINT THOMAS,PETER SAGAN,JULIAN ALAPHILIPPE,PIERRE LATOUR,2018
19,GERAINT THOMAS,PETER SAGAN,JULIAN ALAPHILIPPE,PIERRE LATOUR,2018
20,GERAINT THOMAS,PETER SAGAN,JULIAN ALAPHILIPPE,PIERRE LATOUR,2018
21,GERAINT THOMAS,PETER SAGAN,JULIAN ALAPHILIPPE,PIERRE LATOUR,2018
1,MIKE TEUNISSEN,PETER SAGAN,GREG VAN AVERMAET,CALEB EWAN,2019
2,MIKE TEUNISSEN,PETER SAGAN,GREG VAN AVERMAET,WOUT VAN AERT,2019
3,JULIAN ALAPHILIPPE,PETER SAGAN,TIM WELLENS,WOUT VAN AERT,2019
4,JULIAN ALAPHILIPPE,PETER SAGAN,TIM WELLENS,WOUT VAN AERT,2019
5,JULIAN ALAPHILIPPE,PETER SAGAN,TIM WELLENS,WOUT VAN AERT,2019
6,GIULIO CICCONE,PETER SAGAN,TIM WELLENS,EGAN BERNAL GOMEZ,2019
7,GIULIO CICCONE,PETER SAGAN,TIM WELLENS,EGAN BERNAL GOMEZ,2019
8,JULIAN ALAPHILIPPE,PETER SAGAN,TIM WELLENS,GIULIO CICCONE,2019
9,JULIAN ALAPHILIPPE,PETER SAGAN,TIM WELLENS,GIULIO CICCONE,2019
10,JULIAN ALAPHILIPPE,PETER SAGAN,TIM WELLENS,EGAN BERNAL GOMEZ,2019
11,JULIAN ALAPHILIPPE,PETER SAGAN,TIM WELLENS,EGAN BERNAL GOMEZ,2019
12,JULIAN ALAPHILIPPE,PETER SAGAN,TIM WELLENS,EGAN BERNAL GOMEZ,2019
13,JULIAN ALAPHILIPPE,PETER SAGAN,TIM WELLENS,ENRIC MAS NICOLAU,2019
14,JULIAN ALAPHILIPPE,PETER SAGAN,TIM WELLENS,EGAN BERNAL GOMEZ,2019
15,JULIAN ALAPHILIPPE,PETER SAGAN,TIM WELLENS,EGAN BERNAL GOMEZ,2019
16,JULIAN ALAPHILIPPE,PETER SAGAN,TIM WELLENS,EGAN BERNAL GOMEZ,2019
17,JULIAN ALAPHILIPPE,PETER SAGAN,TIM WELLENS,EGAN BERNAL GOMEZ,2019
18,JULIAN ALAPHILIPPE,PETER SAGAN,ROMAIN BARDET,EGAN BERNAL GOMEZ,2019
19,EGAN BERNAL GOMEZ,PETER SAGAN,ROMAIN BARDET,DAVID GAUDU,2019
20,EGAN BERNAL GOMEZ,PETER SAGAN,ROMAIN BARDET,DAVID GAUDU,2019
21,EGAN BERNAL GOMEZ,PETER SAGAN,ROMAIN BARDET,EGAN BERNAL GOMEZ,2019
1,ALEXANDER KRISTOFF,PETER SAGAN,FABIEN GRELLIER,MADS PEDERSEN,2020
2,JULIAN ALAPHILIPPE,ALEXANDER KRISTOFF,BENOIT COSNEFROY,MARC HIRSCHI,2020
3,JULIAN ALAPHILIPPE,PETER SAGAN,BENOIT COSNEFROY,MARC HIRSCHI,2020
4,JULIAN ALAPHILIPPE,PETER SAGAN,BENOIT COSNEFROY,TADEJ POGAČAR,2020
5,ADAM YATES,SAM BENNETT,BENOIT COSNEFROY,TADEJ POGAČAR,2020
6,ADAM YATES,SAM BENNETT,BENOIT COSNEFROY,TADEJ POGAČAR,2020
7,ADAM YATES,PETER SAGAN,BENOIT COSNEFROY,EGAN BERNAL GOMEZ,2020
8,ADAM YATES,PETER SAGAN,BENOIT COSNEFROY,EGAN BERNAL GOMEZ,2020
9,PRIMOŽ ROGLIČ,PETER SAGAN,BENOIT COSNEFROY,EGAN BERNAL GOMEZ,2020
10,PRIMOŽ ROGLIČ,SAM BENNETT,BENOIT COSNEFROY,EGAN BERNAL GOMEZ,2020
11,PRIMOŽ ROGLIČ,SAM BENNETT,BENOIT COSNEFROY,EGAN BERNAL GOMEZ,2020
12,PRIMOŽ ROGLIČ,SAM BENNETT,BENOIT COSNEFROY,EGAN BERNAL GOMEZ,2020
13,PRIMOŽ ROGLIČ,SAM BENNETT,BENOIT COSNEFROY,TADEJ POGAČAR,2020
14,PRIMOŽ ROGLIČ,SAM BENNETT,BENOIT COSNEFROY,TADEJ POGAČAR,2020
15,PRIMOŽ ROGLIČ,SAM BENNETT,BENOIT COSNEFROY,TADEJ POGAČAR,2020
16,PRIMOŽ ROGLIČ,SAM BENNETT,BENOIT COSNEFROY,TADEJ POGAČAR,2020
17,PRIMOŽ ROGLIČ,SAM BENNETT,TADEJ POGAČAR,ENRIC MAS NICOLAU,2020
18,PRIMOŽ ROGLIČ,SAM BENNETT,RICHARD CARAPAZ,TADEJ POGAČAR,2020
19,PRIMOŽ ROGLIČ,SAM BENNETT,RICHARD CARAPAZ,TADEJ POGAČAR,2020
20,TADEJ POGAČAR,SAM BENNETT,RICHARD CARAPAZ,ENRIC MAS NICOLAU,2020
21,TADEJ POGAČAR,SAM BENNETT,TADEJ POGAČAR,TADEJ POGAČAR,2020
1,JULIAN ALAPHILIPPE,MICHAEL MATTHEWS,IDE SCHELLING,TADEJ POGAČAR,2021
2,MATHIEU VAN DER POEL,JULIAN ALAPHILIPPE,IDE SCHELLING,TADEJ POGAČAR,2021
3,MATHIEU VAN DER POEL,JULIAN ALAPHILIPPE,IDE SCHELLING,TADEJ POGAČAR,2021
4,MATHIEU VAN DER POEL,MARK CAVENDISH,IDE SCHELLING,TADEJ POGAČAR,2021
5,MATHIEU VAN DER POEL,MARK CAVENDISH,IDE SCHELLING,TADEJ POGAČAR,2021
6,MATHIEU VAN DER POEL,MARK CAVENDISH,IDE SCHELLING,TADEJ POGAČAR,2021
7,MATHIEU VAN DER POEL,MARK CAVENDISH,MATEJ MOHORIC,TADEJ POGAČAR,2021
8,TADEJ POGAČAR,MARK CAVENDISH,WOUT POELS,JONAS VINGEGAARD,2021
9,TADEJ POGAČAR,MARK CAVENDISH,NAIRO QUINTANA,JONAS VINGEGAARD,2021
10,TADEJ POGAČAR,MARK CAVENDISH,NAIRO QUINTANA,JONAS VINGEGAARD,2021
11,TADEJ POGAČAR,MARK CAVENDISH,NAIRO QUINTANA,JONAS VINGEGAARD,2021
12,TADEJ POGAČAR,MARK CAVENDISH,NAIRO QUINTANA,JONAS VINGEGAARD,2021
13,TADEJ POGAČAR,MARK CAVENDISH,NAIRO QUINTANA,JONAS VINGEGAARD,2021
14,TADEJ POGAČAR,MARK CAVENDISH,MICHAEL WOODS,JONAS VINGEGAARD,2021
15,TADEJ POGAČAR,MARK CAVENDISH,WOUT POELS,JONAS VINGEGAARD,2021
16,TADEJ POGAČAR,MARK CAVENDISH,WOUT POELS,JONAS VINGEGAARD,2021
17,TADEJ POGAČAR,MARK CAVENDISH,WOUT POELS,JONAS VINGEGAARD,2021
18,TADEJ POGAČAR,MARK CAVENDISH,WOUT POELS,JONAS VINGEGAARD,2021
19,TADEJ POGAČAR,MARK CAVENDISH,WOUT POELS,JONAS VINGEGAARD,2021
20,TADEJ POGAČAR,MARK CAVENDISH,WOUT POELS,JONAS VINGEGAARD,2021
21,TADEJ POGAČAR,MARK CAVENDISH,TADEJ POGAČAR,TADEJ POGAČAR,2021
1,YVES LAMPAERT,WOUT VAN AERT,,TADEJ POGAČAR,2022
2,WOUT VAN AERT,FABIO JAKOBSEN,MAGNUS CORT NIELSEN,TADEJ POGAČAR,2022
3,WOUT VAN AERT,FABIO JAKOBSEN,MAGNUS CORT NIELSEN,TADEJ POGAČAR,2022
1,WOUT VAN AERT,FABIO JAKOBSEN,MAGNUS CORT NIELSEN,TADEJ POGAČAR,2022
4,WOUT VAN AERT,FABIO JAKOBSEN,MAGNUS CORT NIELSEN,TADEJ POGAČAR,2022
5,WOUT VAN AERT,FABIO JAKOBSEN,MAGNUS CORT NIELSEN,TADEJ POGAČAR,2022
6,TADEJ POGAČAR,WOUT VAN AERT,MAGNUS CORT NIELSEN,THOMAS PIDCOCK,2022
7,TADEJ POGAČAR,WOUT VAN AERT,MAGNUS CORT NIELSEN,THOMAS PIDCOCK,2022
8,TADEJ POGAČAR,WOUT VAN AERT,MAGNUS CORT NIELSEN,THOMAS PIDCOCK,2022
9,TADEJ POGAČAR,WOUT VAN AERT,SIMON GESCHKE,THOMAS PIDCOCK,2022
10,TADEJ POGAČAR,WOUT VAN AERT,SIMON GESCHKE,THOMAS PIDCOCK,2022
11,JONAS VINGEGAARD,WOUT VAN AERT,SIMON GESCHKE,TADEJ POGAČAR,2022
12,JONAS VINGEGAARD,WOUT VAN AERT,SIMON GESCHKE,TADEJ POGAČAR,2022
13,JONAS VINGEGAARD,WOUT VAN AERT,SIMON GESCHKE,TADEJ POGAČAR,2022
14,JONAS VINGEGAARD,WOUT VAN AERT,SIMON GESCHKE,TADEJ POGAČAR,2022
15,JONAS VINGEGAARD,WOUT VAN AERT,SIMON GESCHKE,TADEJ POGAČAR,2022
